qid,Hybrid(KG+BGEGemma),"KG(SVD sim-only @512, alpha=0.30)",BGEGemma,ANN@100->@50,CrossEncoder
0,0.8911371921725257,0.8806433489610697,0.6832678823006127,0.7131706041303084,0.7292095194903617
1,0.6874988918478272,0.676712871544199,0.7089775585571843,0.49002778348704545,0.4610033370672939
10,0.8623581879055683,0.8351539214547371,0.7090739968756324,0.5705066197697516,0.651981606028824
11,0.8862213584719013,0.8517932516545209,0.791646478271512,0.7178610972564126,0.7129880000999128
12,0.6573268795749456,0.6174178695533478,0.631092002995804,0.5610723818012726,0.4872520737369192
13,0.12545680264413664,0.10909493473383518,0.1733793285921345,0.17200896173121935,0.06474271459046577
14,1.0,1.0,1.0,0.6309297535714575,0.5
2,0.6895914792844475,0.5713226316016287,0.6889585653293853,0.49865789037395775,0.6726197158360032
3,0.5628888193737122,0.5019693398370004,0.498931522563917,0.3190988484417457,0.39200733355685463
4,0.4827628192801927,0.4879349824503601,0.2926337559825606,0.28132566826367517,0.2070332399598459
5,0.7819745265968431,0.74088347149384,0.7123643308835849,0.6040158308426303,0.6537038409677237
6,0.4114107276574448,0.3769954215658521,0.3857036021478141,0.2541987744884953,0.1593129431316451
7,0.3751706998826301,0.3914059671327187,0.31412583796688365,0.1867694372540908,0.22933699002627544
8,0.7172794267211634,0.7046050246257843,0.591554522544583,0.5828935612150381,0.3735931243836994
9,0.9183286401208633,0.9557947000719523,0.8162552863994562,0.9264041251525995,0.682005375753965
