docno,raw_text
3427,Was ist die Hauptstadt von Australien? Sydney Melbourne Perth Canberra
3430,Was ist die Hauptstadt von Japan? Peking Tokio Seoul Bangkok
3440,Was ist die Hauptstadt von Kanada? Toronto Montreal Vancouver Ottawa
3462,Was ist die Hauptstadt von Russland? Sankt Petersburg Moskau Kiew Warschau
3486,"Was ist der Unterschied zwischen AC und DC? AC steht für 'Alternating Current' (Wechselstrom), DC steht für 'Direct Current' (Gleichstrom) AC steht für 'Direct Current' (Gleichstrom), DC steht für 'Alternating Current' (Wechselstrom) AC und"
4286,"Was ist der Unterschied zwischen Monopol und Oligopol? Es gibt keinen Unterschied; die Begriffe werden synonym verwendet. Ein Monopol bedeutet, dass ein Unternehmen den gesamten Markt für ein Produkt oder eine Dienstleistung kontrolliert, w"
4923,"Was ist der Unterschied zwischen Monopol und Oligopol? Monopol und Oligopol sind synonyme Begriffe und haben keine Unterschiede. Ein Monopol ist ein Markt, auf dem nur ein Unternehmen tätig ist, während ein Oligopol ein Markt ist, auf dem v"
5071,"Was ist ein gutes Passwort? Ein kurzes Passwort, das leicht zu merken ist Ein langes Passwort, das aus einer Kombination von Buchstaben (Groß- und Kleinbuchstaben), Zahlen und Sonderzeichen besteht Ein Passwort, das den eigenen Namen enthäl"
5204,Welche Rolle spielt die Executive Summary in einem Geschäftsplan? Die Executive Summary ist unwichtig und kann weggelassen werden. Die Executive Summary ist der ausführlichste Teil des Geschäftsplans. Die Executive Summary bietet eine kurze
5466,"Was ist ein Konsul? Ein Konsul ist ein politischer Berater des Präsidenten oder der Präsidentin. Ein Konsul ist ein hochrangiger Diplomat, der das Gastland im eigenen Land vertritt. Ein Konsul ist ein Diplomat oder Beamter, der konsularisch"
5609,Was ist ein Executive Summary in einem Geschäftsplan? Ein Executive Summary ist ein ausführlicher Bericht über die Unternehmensgeschichte. Ein Executive Summary ist ein juristisches Dokument. Ein Executive Summary ist eine kurze Zusammenfas
5621,"Was ist ein Boxplot? Ein Boxplot ist eine Darstellung von Daten in Form von Kreisen. Ein Boxplot ist eine Art von Liniendiagramm. Ein Boxplot ist eine grafische Darstellung von Daten, die die Verteilung und Streuung von Werten in einem Date"
