scheme,weighting,hops,neighbor_w,svd_dim,explained_variance,nDCG@50,MRR@50,Prec@50,Recall@50,F1@50,MAP@50,Delta_vs_ANN,Beats_ComplEx_ref,Beats_RotatE_ref
sim-only,similarity,0,0.3,512,0.7728558778762817,0.6400769437957542,0.9047619047619048,0.5533333333333333,0.47658792372495884,0.5121012556132107,0.4062369949036598,0.1394808546104408,True,True
sim+graph,similarity,1,0.3,384,0.7289577722549438,0.6397111421890772,0.9366666666666668,0.5559999999999999,0.4710548694240477,0.5100146354335334,0.4098331851872091,0.1391150530037638,True,True
binary-only,binary,0,0.3,512,0.751620352268219,0.6367661398609268,0.9041666666666667,0.5546666666666666,0.47641087854791364,0.5125690792013433,0.4039877070415034,0.13617005067561339,True,True
sim+graph,similarity,1,0.3,512,0.7865705490112305,0.636378957956531,0.937037037037037,0.5506666666666667,0.4666523578599417,0.5051903920000927,0.40556909072577957,0.1357828687712176,True,True
binary+graph,binary,1,0.3,384,0.7057540416717529,0.6147176885679361,0.9031746031746032,0.5559999999999999,0.4709202074256636,0.5099356959486501,0.37411824561020185,0.11412159938262267,True,True
sim-only,similarity,0,0.3,384,0.7135688066482544,0.6145675536880173,0.8714285714285714,0.5546666666666666,0.47725743939447446,0.5130586474256031,0.3737344709759159,0.1139714645027039,True,True
binary+graph,binary,1,0.3,512,0.7659547328948975,0.6135929457747867,0.9030303030303031,0.5559999999999999,0.47010516746168746,0.5094574735556188,0.37189094187579436,0.11299685658947334,True,True
sim+graph,similarity,1,0.3,128,0.5243520736694336,0.6012370107488335,0.8578544061302682,0.5533333333333332,0.4665511893073989,0.5062501077703553,0.3632225059275119,0.10064092156352011,True,True
binary+graph,binary,1,0.3,256,0.624197244644165,0.6008940214547533,0.8858974358974359,0.5586666666666666,0.47075884899732806,0.5109593126872065,0.3593830232997031,0.10029793226943995,True,True
sim+graph,similarity,1,0.3,256,0.6500352621078491,0.5986336777757465,0.8866666666666667,0.5546666666666666,0.4675364016259446,0.5073881413178402,0.35809165978083884,0.0980375885904331,True,True
sim-only,similarity,0,0.3,64,0.3945956230163574,0.5984126238670752,0.9041666666666667,0.5386666666666666,0.45552263881452026,0.4936179862096994,0.36046791697288544,0.09781653468176177,True,True
binary-only,binary,0,0.3,384,0.689841628074646,0.5973924812522637,0.851111111111111,0.5559999999999999,0.4773425457774532,0.5136775922694324,0.35093728076102687,0.09679639206695034,True,True
sim-only,similarity,0,0.3,128,0.5069323182106018,0.5960028363881263,0.8531746031746031,0.5533333333333333,0.4673786389322385,0.5067368410211699,0.35887796345041384,0.09540674720281295,True,True
binary-only,binary,0,0.3,256,0.6070858240127563,0.5946580679159379,0.8837037037037038,0.5533333333333331,0.4670251785667889,0.5065290205218613,0.35445128607291926,0.0940619787306245,True,True
sim+graph,similarity,1,0.3,64,0.4120666980743408,0.5934989884452283,0.8701754385964912,0.5386666666666665,0.4556752569888748,0.49370757870147847,0.3609413095920588,0.0929028992599149,True,True
binary+graph,binary,1,0.3,64,0.38817471265792847,0.5901489795397646,0.9028985507246378,0.5333333333333333,0.45336503936948874,0.49010861749247475,0.35789458520927275,0.08955289035445124,True,True
binary-only,binary,0,0.3,128,0.48098474740982056,0.5894854356539138,0.8442495126705652,0.5599999999999999,0.47117598707557823,0.5117624073280224,0.34946111070951263,0.08888934646860036,True,True
binary+graph,binary,1,0.3,128,0.4981692135334015,0.5878433016350619,0.8469135802469137,0.5479999999999999,0.4636847905597342,0.5023289222054015,0.3506599217568895,0.08724721244974853,True,True
sim-only,similarity,0,0.3,256,0.6331810355186462,0.5875214837373293,0.8481481481481481,0.5479999999999999,0.46371401530796147,0.5023460712094836,0.34725922923107877,0.08692539455201587,True,True
binary-only,binary,0,0.3,64,0.37136930227279663,0.5692601788738941,0.8780303030303032,0.5333333333333333,0.45230570759758904,0.4894889522453901,0.3336695039056394,0.06866408968858073,True,True
binary-only,binary,0,0.3,32,0.2759512960910797,0.5691862363277477,0.8792022792022791,0.5386666666666666,0.45415076346574335,0.49281140821145164,0.3249583739249251,0.06859014714243428,True,True
sim+graph,similarity,1,0.3,32,0.3093177080154419,0.5654926717412125,0.874537037037037,0.5333333333333333,0.45234205138973427,0.4895102339241343,0.32256136138216557,0.06489658255589914,True,True
sim-only,similarity,0,0.3,32,0.2940933108329773,0.5646860369391119,0.8784615384615384,0.532,0.44937263111236325,0.48720788041704644,0.322024791408303,0.0640899477537985,True,True
binary+graph,binary,1,0.3,32,0.2893924117088318,0.5633414425003528,0.8746198830409356,0.5346666666666666,0.4517882690723537,0.48974589535213253,0.32153401939060794,0.06274535331503939,True,True
