qid,mean,max,gap12,gap15,std
0,0.7385858803987503,0.9049532413482666,0.08253157138824463,0.15791869163513184,0.04922606063305939
1,0.7937120229005814,0.9313693046569824,0.013613224029541016,0.1042470932006836,0.05495808295683089
2,0.8016755908727646,0.8993303775787354,0.01730269193649292,0.05517423152923584,0.04211712477281504
3,0.7157147526741028,0.9151761531829834,0.03542530536651611,0.18236511945724487,0.0781384868860249
4,0.680949404835701,0.7983659505844116,0.061847567558288574,0.10097652673721313,0.039958922520043336
5,0.6668813318014145,0.7784297466278076,0.038450002670288086,0.09871435165405273,0.036215794991088776
6,0.8165424436330795,0.8996549844741821,0.011714816093444824,0.06184202432632446,0.03870659587205278
7,0.7909252017736434,0.850354790687561,0.024616599082946777,0.035721659660339355,0.023530441362536604
8,0.6877815216779709,0.7417119145393372,0.029452979564666748,0.048710644245147705,0.017932164190895956
9,0.6869499415159226,0.9109034538269044,0.1156938672065736,0.1911686658859254,0.07560767460743205
10,0.5894836694002151,0.6760479807853699,0.022018015384674072,0.07409936189651489,0.03620053439625698
11,0.6899238497018814,0.8427861928939819,0.07566255331039429,0.11945068836212158,0.05104829756951973
12,0.7564839959144593,0.8141616582870483,0.014021575450897217,0.042010724544525146,0.02562998193648171
13,0.7215998381376266,0.7556874752044678,0.0014307498931884766,0.01786494255065918,0.01709344747980486
14,0.682658514380455,0.8061936497688293,0.07019555568695068,0.10826313495635986,0.0387054813653553
